March 1 2017 Xuhui Air Quality Data,,,
Hour,PM2.5 (ug/m3),CO2 (ppm),AHR
857,178,400,0.0016
858,177,400,0.0017
859,188,400,0.0017
860,194,400,0.0018
861,199,400,0.0021
862,191,400,0.0024
863,203,400,0.0025
864,164,400,0.0028
865,113,400,0.0032
866,81,400,0.0045
867,56,400,0.005
868,49,400,0.0054
869,49,400,0.0056
870,32,400,0.0058
871,39,400,0.006
872,38,400,0.006
873,37,400,0.0056
874,41,400,0.0046
875,46,400,0.0031
876,50,400,0.0021
877,59,400,0.0017
878,49,400,0.0014
879,53,400,0.0014
880,59,400,0.0013
881,49,400,0.0011
882,53,400,0.0011
883,58,400,0.0013
884,65,400,0.0015
885,64,400,0.0016
886,69,400,0.0017
887,69,400,0.0019
888,68,400,0.0022
889,67,400,0.0033
890,59,400,0.0052
891,63,400,0.0059
892,69,400,0.0059
893,66,400,0.0063
894,70,400,0.007
895,72,400,0.0075
896,72,400,0.0076
897,68,400,0.0071
898,69,400,0.0053
899,69,400,0.0032
900,50,400,0.0026
901,53,400,0.0024
902,58,400,0.0021
903,44,400,0.0016
904,46,400,0.0014
905,48,400,0.0014
906,50,400,0.0012
907,58,400,0.0015
908,62,400,0.0019
909,67,400,0.002
910,73,400,0.0019
911,74,400,0.0022
912,81,400,0.0033
913,87,400,0.0047
914,114,400,0.0061
915,132,400,0.0077
916,143,400,0.0085
917,145,400,0.0094
918,141,400,0.0107
919,128,400,0.0096
920,110,400,0.0107
921,108,400,0.0092
922,95,400,0.0067
923,87,400,0.0043
924,73,400,0.0034
925,61,400,0.0024
926,64,400,0.0023
927,53,400,0.0022
928,47,400,0.0018
929,43,400,0.0017
930,56,400,0.0018
931,66,400,0.0022
932,79,400,0.0021
933,109,400,0.0021
934,126,400,0.0022
935,93,400,0.0026
936,86,400,0.0036
937,80,400,0.0046
938,83,400,0.0055
939,79,400,0.0071
940,76,400,0.0087
941,76,400,0.0099
942,76,400,0.0106
943,72,400,0.0102
944,78,400,0.0096
945,64,400,0.0089
946,65,400,0.008
947,68,400,0.0064
948,70,400,0.0051
949,73,400,0.0037
950,69,400,0.0035
951,76,400,0.0035
952,77,400,0.0036
953,88,400,0.0042
954,92,400,0.0048
955,77,400,0.0049
956,77,400,0.0056
957,67,400,0.0063
958,70,400,0.0063
959,65,400,0.0065
960,64,400,0.0074
961,57,400,0.0096
962,59,400,0.0108
963,58,400,0.0125
964,53,400,0.0142
965,49,400,0.0146
966,45,400,0.0156
967,33,400,0.0152
968,30,400,0.0143
969,34,400,0.014
970,24,400,0.012
971,34,400,0.0113
972,25,400,0.0113
973,18,400,0.0113
974,21,400,0.012
975,19,400,0.0113
976,27,400,0.0097
977,28,400,0.0091
978,25,400,0.0091
979,24,400,0.01
980,27,400,0.0106
981,29,400,0.0113
982,27,400,0.011
983,28,400,0.011
984,32,400,0.0117
985,27,400,0.0128
986,29,400,0.0132
987,29,400,0.0128
988,27,400,0.0136
989,28,400,0.014
990,30,400,0.0157
991,23,400,0.0173
992,23,400,0.0168
993,24,400,0.0154
994,14,400,0.0145
995,16,400,0.0132
996,18,400,0.0128
997,28,400,0.0116
998,29,400,0.0094
999,27,400,0.0091
1000,29,400,0.008
1001,18,400,0.0075
1002,22,400,0.0073
1003,26,400,0.0078
1004,25,400,0.0093
1005,23,400,0.0096
1006,24,400,0.0096
1007,26,400,0.0099
1008,27,400,0.0106
1009,33,400,0.0109
1010,25,400,0.0124
1011,14,400,0.014
1012,13,400,0.0157
1013,13,400,0.0167
1014,12,400,0.0177
1015,14,400,0.0187
1016,38,400,0.0193
1017,30,400,0.0166
1018,34,400,0.0143
1019,56,400,0.014
1020,56,400,0.0136
1021,34,400,0.0128
1022,32,400,0.0112
1023,24,400,0.0102
1024,26,400,0.0096
1025,24,400,0.0099
1026,23,400,0.0099
1027,31,400,0.0095
1028,30,400,0.0098
1029,31,400,0.0098
1030,28,400,0.0092
1031,25,400,0.0097
1032,24,400,0.0104
1033,21,400,0.0104
1034,18,400,0.0103
1035,23,400,0.0097
1036,22,400,0.0094
1037,27,400,0.0095
1038,22,400,0.0082
1039,32,400,0.0081
1040,38,400,0.008
1041,44,400,0.0081
1042,45,400,0.0073
1043,52,400,0.0064
1044,67,400,0.0057
1045,64,400,0.0053
1046,68,400,0.0045
1047,68,400,0.0039
1048,125,400,0.0034
1049,159,400,0.003
1050,119,400,0.0026
1051,82,400,0.0025
1052,55,400,0.0025
1053,39,400,0.0032
1054,33,400,0.0031
1055,69,400,0.003
1056,51,400,0.003
1057,44,400,0.0028
1058,45,400,0.0027
1059,41,400,0.0026
1060,33,400,0.003
1061,37,400,0.0032
1062,27,400,0.0037
1063,30,400,0.004
1064,31,400,0.0041
1065,32,400,0.0035
1066,40,400,0.0029
1067,47,400,0.0026
1068,55,400,0.0021
1069,46,400,0.0019
1070,37,400,0.0016
1071,41,400,0.0015
1072,46,400,0.0014
1073,40,400,0.0014
1074,41,400,0.0015
1075,39,400,0.0015
1076,27,400,0.0016
1077,25,400,0.0018
1078,23,400,0.002
1079,27,400,0.0021
1080,27,400,0.0025
1081,28,400,0.0028
1082,28,400,0.0031
1083,26,400,0.0034
1084,29,400,0.0036
1085,28,400,0.0043
1086,33,400,0.0045
1087,33,400,0.0046
1088,39,400,0.0047
1089,38,400,0.0045
1090,40,400,0.0039
1091,32,400,0.0033
1092,33,400,0.0024
1093,36,400,0.0021
1094,38,400,0.0016
1095,42,400,0.0015
1096,38,400,0.0016
1097,41,400,0.0014
1098,39,400,0.0016
1099,46,400,0.0015
1100,40,400,0.0015
1101,40,400,0.0017
1102,39,400,0.0018
1103,38,400,0.0022
1104,41,400,0.0027
1105,38,400,0.0031
1106,40,400,0.0042
1107,39,400,0.0048
1108,40,400,0.0051
1109,45,400,0.0058
