0,0,0,0,0,0,0,0.007791085332266729,18841.63679840326,1785.441129838664,1327.9070411000039,1153.1308209196395,1075.7615104763247,1060.8459274965458,1100.9801247443843,2025.3252253624075,17328.852977910738,17950.44665087138,19616.801476207133,22024.89048611791,20714.71950939738,15118.917708111081,15547.847523416396,21797.47240641917,28351.94820134432,46999.197248616416,0.04920900917785931,0.02395858315401299,0.017060142061238966,0.013262512908488348,0.010524793945011632
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garden Room,1,100,17.8,57.84,19.69,2,0.005,0.005422787358335284,0.005840145444192839,0.006255035191400759,0.006673058911051465,0.007095479124956785,0.007527908790866884,0.007975108413678697,0.010565022896797784,0.011354571375503268,0.01137785872807667,0.010701002892822843,0.010001337113579188,0.01006071801491858,0.009566875175584017,0.009038245456523576,0.008242582104494281,0.007155411368561051,0.007630426809180787,0.008130584018856966,0.008668835379751862,0.009269971221614022,0.009988031209691866,0.011014224874378815
Huddle Area,2,204,5.6,16.36,2.76,1,0.005,0.005583616353979496,0.006160982674659827,0.006739737716482511,0.007337548069342749,0.007956814137327179,0.008626281625143771,0.009371382640298517,0.010316644485142086,0.011672168579342643,0.011234231322030537,0.010559433350045942,0.01001071967278831,0.00969224292745688,0.00954058012019415,0.009420205581295804,0.009281319103321521,0.008010426081408175,0.0071956088537955066,0.007758134800806641,0.008359168703992007,0.009025297761668013,0.009815563574232015,0.010938704081411779
Closed Office North,2,205,11,32.21,2.76,1,0.005,0.0054787108758108235,0.005950566047122074,0.006419827163318015,0.006894289033691193,0.00737854479805824,0.007880161990599224,0.00841020276677363,0.011295057554291185,0.01148152681883536,0.010766313069793676,0.010967097616513408,0.01121647612253761,0.011583399205193504,0.009985293338354455,0.009444580797391437,0.009076219336205109,0.00816636566851706,0.007471938153206091,0.007993870442357122,0.008554531242719297,0.009179330341055655,0.009923862904456243,0.010985396851793516
Closed Office South,2,206,10.6,31.25,3.6,1,0.005,0.00558861391867497,0.006168274684719481,0.00674866064387083,0.007342342870570997,0.007962390496134942,0.008629930292707089,0.009387930788126593,0.011619679790464603,0.01158505438296978,0.01123213304483855,0.009999580482922219,0.010859545939329578,0.010132228888350758,0.009597394372884692,0.00932976653869625,0.008732299661218263,0.008055424267899867,0.0074224724385210964,0.007951574547593432,0.0085192510732564,0.009151152728165171,0.009903674977885059,0.0109762819975316
Open Office,2,207,38.6,119.76,9.12,4,0.005,0.005468672739254496,0.00592856400511406,0.006386085963110773,0.0068475488975116615,0.007317508806605437,0.007803716397265088,0.00831571507023373,0.01124619774136595,0.011540326730117574,0.011282910149720004,0.01063737710363286,0.010111547419224686,0.009790493907371385,0.00956986242724273,0.009419597085320999,0.009330307333200649,0.008487197549703222,0.007224439747431553,0.007782691008555878,0.008379027167197189,0.009039928491494093,0.009824488040705494,0.010938345329476285
Project Room,3,301,15.8,46.85,4.61,2,0.005,0.005423792399632003,0.005842509772944336,0.006258124434773225,0.006677789951876353,0.007101769584131415,0.007535803736210886,0.007984958462951088,0.00846190518017647,0.011368944142570218,0.011284789564235,0.010549637716153243,0.010114175915730479,0.00976763547915891,0.009575902979555238,0.009391222802668667,0.009173166120301307,0.00819558714666352,0.007356592114988082,0.007895231796452741,0.008472626974114236,0.009114168921047173,0.00987750855785207,0.01096432916856786
Huddle Area,3,304,5.6,17.33,2.76,1,0.005,0.0055175853770462234,0.006029561362489683,0.006540618260515806,0.007064707646711899,0.007597703920246208,0.00816167142468041,0.008759229976592309,0.00943999303364035,0.011656620734268522,0.011287076665795773,0.010620114684372557,0.010092129095701287,0.009741154058152728,0.009542418713753366,0.009210592192823473,0.008359921679553203,0.00695176518129576,0.007454420715524948,0.007980351043885869,0.008544297080529352,0.009171914879083242,0.0099194055800616,0.010985957040373546
Closed Office North,3,305,11.2,34.9,2.76,1,0.005,0.005355631625312376,0.005706999425799321,0.0060559184484579595,0.006404876556527938,0.006756188237595901,0.007111751333565224,0.0074727594111180734,0.007851215421829311,0.008245122758424336,0.008661009810384217,0.009112308557736386,0.009620961618915186,0.010238064444037614,0.011279140588591956,0.009764721752129895,0.00914680391264355,0.0082004600490031,0.007515864910511432,0.008031707326958458,0.008586156787452507,0.009204242911220453,0.009941322515583037,0.010993468850840876
Closed Office South,3,306,10.8,33.62,3.6,1,0.005,0.005446731424408874,0.00588717111860792,0.006324812137428321,0.006766074859548016,0.007214179695183829,0.007675030770829137,0.008154818556959901,0.008672905707402926,0.009248919157736487,0.010984190359065633,0.011167796571455654,0.011535186150193043,0.009727239788997272,0.009568507890589146,0.009340338249594458,0.009034384063832961,0.008157337798196175,0.007485405438617222,0.008005484731514226,0.008564109843927028,0.009186710525798706,0.009928999579464618,0.010987899199892095
Open Office,3,307,38.7,120.46,9.12,4,0.005,0.005427581172270534,0.005847601811046128,0.006263733091850665,0.006682009845673151,0.0071066212925580035,0.007541257905588398,0.007991358342274987,0.008469481395659718,0.011023123587348577,0.011334073019434612,0.010776808050389998,0.010240364353282216,0.009817968267165612,0.00946748453714689,0.008912392485453703,0.008219148145436799,0.007315629054964481,0.007770706809024375,0.008251427969457194,0.008769936820372007,0.009350055004313887,0.010044560922130718,0.011039482244194111
Lounge,4,405,22.1,64.9,6.36,2,0.005,0.005315284650881576,0.005627148147562735,0.005936483027994317,0.006245110843633385,0.006554877164957961,0.006866220892700192,0.007180658332118447,0.007504255440800542,0.009724879466674689,0.010100525747111743,0.010222173292395843,0.010559479762710397,0.010990977918652821,0.009347935589437995,0.008143178550413119,0.008412576629540524,0.00869514234563601,0.008995230422893696,0.009318169868157348,0.009672953609671835,0.010076852822966605,0.010568800763607306,0.011286733380620327
Seminar,4,406,38.7,113.73,9.12,4,0.005,0.00546145456148532,0.005914400511702121,0.006364020936282034,0.0068184272305569695,0.0072797750208829165,0.007754954805132358,0.008253908732243931,0.008792705003631315,0.00939951582404015,0.01156245951956678,0.010486540301227809,0.008990183383088908,0.010487976710734722,0.009613495517935463,0.009423457305162626,0.009356314887359224,0.008358707633774597,0.007185926281963268,0.007749736583763657,0.008351393171683399,0.009018085445499436,0.009809181119642994,0.010931430931863672
0,0,0,0,0,0,0,0.005,0.0054420255157781264,0.005877138294498044,0.006309615643252074,0.006746218909088362,0.007190160073611581,0.0076484034286659714,0.008129582348340906,0.009411521537804921,0.010625168439172689,0.011059903403093284,0.010529988392423667,0.010109405665092873,0.010159850704876171,0.00964419699782186,0.009182920992752091,0.008863725932773167,0.008034113439499224,0.007576494832897121,0.00808600610364262,0.008633079163558212,0.009242533062567714,0.009969268210672524,0.01100615488117368
0,0,0,0,0,0,0,55650609516190915e-24,55650677631543047e-24,55650678551356665e-24,5565067860901698e-23,55650677801712535e-24,5565067607254489e-23,5565067330642615e-23,5565066925497825e-23,5565066338668845e-23,5565065261916526e-23,5565063849869849e-23,5565064866836974e-23,5565064435749123e-23,5565062987250012e-23,5565061830522401e-23,5565061694081569e-23,5565062040220373e-23,5565062564081186e-23,5565064552748341e-23,55650670988356855e-24,5565066683009581e-23,5565066104915651e-23,55650652854495435e-24,5565064009170756e-23
